sweep	scenario	trait	delta	seed	steps	conversions	syncretisms	retention_rate	conv_to_salvation	conv_to_practical	conv_to_other	early_conversions	early_convert_retention
community	baseline	community_dependence	+0.00	6	50	275	95	0.957	56	70	149	63	1.000
community	baseline	community_dependence	+0.00	7	50	311	115	0.951	58	79	174	73	1.000
community	baseline	community_dependence	+0.00	8	50	274	98	0.957	46	68	160	62	1.000
community	baseline	community_dependence	+0.00	9	50	286	102	0.955	52	74	160	70	1.000
community	baseline	community_dependence	+0.00	10	50	283	100	0.956	40	63	180	64	1.000
community	baseline	community_dependence	+0.10	1	50	617	127	0.904	18	102	497	118	1.000
community	baseline	community_dependence	+0.10	2	50	634	146	0.901	16	124	494	116	1.000
community	baseline	community_dependence	+0.10	3	50	623	113	0.903	17	90	516	108	1.000
community	baseline	community_dependence	+0.10	4	50	619	134	0.903	16	118	485	113	1.000
community	baseline	community_dependence	+0.10	5	50	634	109	0.901	10	100	524	116	1.000
community	baseline	community_dependence	+0.10	6	50	661	122	0.897	20	104	537	110	1.000
community	baseline	community_dependence	+0.10	7	50	649	139	0.899	19	106	524	119	1.000
community	baseline	community_dependence	+0.10	8	50	599	127	0.906	15	101	483	118	1.000
community	baseline	community_dependence	+0.10	9	50	644	125	0.899	12	105	527	120	1.000
community	baseline	community_dependence	+0.10	10	50	653	122	0.898	10	96	547	113	1.000
community	baseline	community_dependence	+0.20	1	50	1082	145	0.831	0	187	895	187	1.000
community	baseline	community_dependence	+0.20	2	50	1092	160	0.829	0	196	896	192	1.000
community	baseline	community_dependence	+0.20	3	50	1138	145	0.822	1	196	941	193	1.000
community	baseline	community_dependence	+0.20	4	50	1088	146	0.830	1	202	885	197	1.000
community	baseline	community_dependence	+0.20	5	50	1125	136	0.824	0	198	927	204	1.000
community	baseline	community_dependence	+0.20	6	50	1133	170	0.823	1	178	954	181	1.000
community	baseline	community_dependence	+0.20	7	50	1177	167	0.816	0	201	976	227	1.000
community	baseline	community_dependence	+0.20	8	50	1126	161	0.824	0	154	972	166	1.000
community	baseline	community_dependence	+0.20	9	50	1178	155	0.816	1	203	974	211	1.000
community	baseline	community_dependence	+0.20	10	50	1156	160	0.819	0	187	969	184	1.000
community	famine	community_dependence	-0.20	1	50	975	192	0.853	476	496	3	407	0.968
community	famine	community_dependence	-0.20	2	50	992	224	0.848	465	527	0	433	0.986
community	famine	community_dependence	-0.20	3	50	962	173	0.852	462	499	1	416	0.988
community	famine	community_dependence	-0.20	4	50	954	178	0.854	475	476	3	395	0.992
community	famine	community_dependence	-0.20	5	50	955	192	0.853	457	497	1	411	0.993
community	famine	community_dependence	-0.20	6	50	914	195	0.861	438	473	3	390	0.982
community	famine	community_dependence	-0.20	7	50	1012	224	0.846	452	557	3	480	0.990
community	famine	community_dependence	-0.20	8	50	941	203	0.857	444	495	2	402	0.980
community	famine	community_dependence	-0.20	9	50	990	199	0.850	476	509	5	436	0.989
community	famine	community_dependence	-0.20	10	50	906	178	0.862	452	450	4	382	0.976
community	famine	community_dependence	-0.10	1	50	910	208	0.860	458	448	4	383	0.974
community	famine	community_dependence	-0.10	2	50	902	205	0.860	446	454	2	406	0.985
community	famine	community_dependence	-0.10	3	50	901	194	0.860	447	451	3	410	0.990
community	famine	community_dependence	-0.10	4	50	909	201	0.859	467	436	6	389	0.990
community	famine	community_dependence	-0.10	5	50	869	218	0.865	434	435	0	376	0.989
community	famine	community_dependence	-0.10	6	50	849	197	0.870	417	427	5	380	0.987
community	famine	community_dependence	-0.10	7	50	956	207	0.852	440	514	2	461	0.998
community	famine	community_dependence	-0.10	8	50	895	219	0.862	430	462	3	400	0.988
community	famine	community_dependence	-0.10	9	50	948	190	0.855	457	484	7	439	0.989
community	famine	community_dependence	-0.10	10	50	867	203	0.867	439	424	4	371	0.984
community	famine	community_dependence	+0.00	1	50	1050	239	0.840	398	618	34	553	0.991
community	famine	community_dependence	+0.00	2	50	1089	236	0.836	401	647	41	582	0.979
community	famine	community_dependence	+0.00	3	50	1066	227	0.838	398	632	36	581	0.991
community	famine	community_dependence	+0.00	4	50	1017	234	0.845	393	586	38	522	0.994
community	famine	community_dependence	+0.00	5	50	1047	227	0.840	363	655	29	589	0.993
community	famine	community_dependence	+0.00	6	50	1069	214	0.838	363	666	40	591	0.990
community	famine	community_dependence	+0.00	7	50	1134	256	0.827	379	719	36	646	0.994
community	famine	community_dependence	+0.00	8	50	1089	245	0.836	370	674	45	607	0.987
community	famine	community_dependence	+0.00	9	50	1117	232	0.830	390	684	43	615	0.997
community	famine	community_dependence	+0.00	10	50	1057	219	0.840	375	638	44	572	0.988
community	famine	community_dependence	+0.10	1	50	1508	225	0.775	293	1013	202	907	0.993
community	famine	community_dependence	+0.10	2	50	1537	254	0.772	293	1028	216	908	0.993
community	famine	community_dependence	+0.10	3	50	1553	234	0.768	300	1048	205	927	0.989
community	famine	community_dependence	+0.10	4	50	1452	243	0.781	274	967	211	842	0.994
community	famine	community_dependence	+0.10	5	50	1557	235	0.766	268	1074	215	955	0.996
community	famine	community_dependence	+0.10	6	50	1476	208	0.778	255	1015	206	929	0.988
community	famine	community_dependence	+0.10	7	50	1672	249	0.752	286	1179	207	1043	0.987
community	famine	community_dependence	+0.10	8	50	1596	222	0.761	274	1114	208	1007	0.990
community	famine	community_dependence	+0.10	9	50	1591	250	0.761	279	1100	212	970	0.992
community	famine	community_dependence	+0.10	10	50	1510	248	0.774	268	1020	222	895	0.992
community	famine	community_dependence	+0.20	1	50	2205	204	0.671	185	1426	594	1232	0.989
community	famine	community_dependence	+0.20	2	50	2131	203	0.686	204	1424	503	1231	0.986
community	famine	community_dependence	+0.20	3	50	2193	163	0.673	185	1491	517	1306	0.986
community	famine	community_dependence	+0.20	4	50	2094	199	0.688	179	1335	580	1167	0.988
community	famine	community_dependence	+0.20	5	50	2157	172	0.677	162	1504	491	1320	0.986
community	famine	community_dependence	+0.20	6	50	2147	179	0.680	170	1470	507	1307	0.984
community	famine	community_dependence	+0.20	7	50	2302	183	0.664	208	1607	487	1424	0.975
community	famine	community_dependence	+0.20	8	50	2217	167	0.671	174	1548	495	1386	0.981
community	famine	community_dependence	+0.20	9	50	2210	188	0.671	180	1546	484	1367	0.988
community	famine	community_dependence	+0.20	10	50	2194	168	0.673	174	1445	575	1294	0.983
