sweep	scenario	trait	delta	seed	steps	conversions	syncretisms	retention_rate	conv_to_salvation	conv_to_practical	conv_to_other	early_conversions	early_convert_retention
anxiety	famine	anxiety	+0.00	3	50	1066	227	0.838	398	632	36	581	0.991
anxiety	famine	anxiety	+0.00	4	50	1017	234	0.845	393	586	38	522	0.994
anxiety	famine	anxiety	+0.00	5	50	1047	227	0.840	363	655	29	589	0.993
anxiety	famine	anxiety	+0.00	6	50	1069	214	0.838	363	666	40	591	0.990
anxiety	famine	anxiety	+0.00	7	50	1134	256	0.827	379	719	36	646	0.994
anxiety	famine	anxiety	+0.00	8	50	1089	245	0.836	370	674	45	607	0.987
anxiety	famine	anxiety	+0.00	9	50	1117	232	0.830	390	684	43	615	0.997
anxiety	famine	anxiety	+0.00	10	50	1057	219	0.840	375	638	44	572	0.988
anxiety	famine	anxiety	+0.10	1	50	1047	237	0.841	388	622	37	574	0.988
anxiety	famine	anxiety	+0.10	2	50	1103	240	0.834	395	667	41	596	0.982
anxiety	famine	anxiety	+0.10	3	50	1070	232	0.837	397	637	36	578	0.991
anxiety	famine	anxiety	+0.10	4	50	1038	238	0.843	401	600	37	546	0.985
anxiety	famine	anxiety	+0.10	5	50	1054	231	0.838	358	661	35	600	0.993
anxiety	famine	anxiety	+0.10	6	50	1074	216	0.837	365	667	42	604	0.993
anxiety	famine	anxiety	+0.10	7	50	1163	265	0.822	385	744	34	667	0.996
anxiety	famine	anxiety	+0.10	8	50	1091	240	0.835	373	674	44	613	0.987
anxiety	famine	anxiety	+0.10	9	50	1131	243	0.828	394	693	44	620	0.990
anxiety	famine	anxiety	+0.10	10	50	1080	217	0.837	376	658	46	578	0.991
anxiety	famine	anxiety	+0.20	1	50	1065	241	0.839	390	638	37	580	0.986
anxiety	famine	anxiety	+0.20	2	50	1105	238	0.834	401	667	37	601	0.980
anxiety	famine	anxiety	+0.20	3	50	1083	233	0.835	396	649	38	595	0.993
anxiety	famine	anxiety	+0.20	4	50	1040	237	0.842	400	604	36	551	0.991
anxiety	famine	anxiety	+0.20	5	50	1080	232	0.834	362	687	31	620	0.994
anxiety	famine	anxiety	+0.20	6	50	1081	217	0.836	364	674	43	609	0.990
anxiety	famine	anxiety	+0.20	7	50	1170	259	0.821	379	755	36	674	0.997
anxiety	famine	anxiety	+0.20	8	50	1098	235	0.834	363	692	43	625	0.992
anxiety	famine	anxiety	+0.20	9	50	1127	235	0.829	394	691	42	613	0.989
anxiety	famine	anxiety	+0.20	10	50	1097	222	0.834	378	672	47	595	0.992
